candidate,reference,delta,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap,p_holm_within_run
tabular_full,tabular,0.07281634464870479,-0.02137352912982219,0.16530869824735717,0.1268,5000,0.2536
tabular_radiomics,tabular,0.005333029631555797,-0.05989398655403698,0.10656589428679757,0.7224,5000,0.7224
