candidate,reference,delta,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap,p_holm_within_run
tabular_full_moments,tabular_full,-0.004270005192557935,-0.052950961234484506,0.05117114045490497,0.8604,5000,0.8604
tabular_full_moments,tabular,0.06854633945614685,-0.040700311216979035,0.17678319212132895,0.2172,5000,0.4344
