repeat,n_cases,n_events,cindex_tabular,cindex_text,cindex_vision_mean,cindex_vision_moments,cindex_fusion_mean,cindex_fusion_moments,cindex_fusion_bimodal_moments,delta_vision_moments_minus_mean,delta_fusion_moments_minus_mean,delta_fusion_moments_minus_tabular,delta_bimodal_minus_trimodal_moments,delta_bimodal_minus_tabular
0,72,20,0.7771345875542692,0.39290882778581765,0.5643994211287988,0.7612156295224313,0.7670043415340086,0.8118668596237337,0.8104196816208393,0.19681620839363245,0.04486251808972508,0.0347322720694645,-0.0014471780028944004,0.0332850940665701
1,72,20,0.7612156295224313,0.45875542691751087,0.48118668596237335,0.7539797395079595,0.7105643994211288,0.7698986975397974,0.7894356005788712,0.27279305354558614,0.05933429811866864,0.00868306801736618,0.01953690303907374,0.02821997105643992
2,72,20,0.7894356005788712,0.31982633863965265,0.58972503617945,0.7467438494934877,0.7749638205499276,0.748191027496382,0.7698986975397974,0.15701881331403766,-0.02677279305354563,-0.04124457308248919,0.02170767004341545,-0.01953690303907374
3,72,20,0.7713458755426917,0.3306801736613603,0.6244573082489147,0.7597684515195369,0.7395079594790159,0.7821997105643994,0.7821997105643994,0.13531114327062221,0.04269175108538348,0.01085383502170767,0.0,0.01085383502170767
4,72,20,0.7829232995658466,0.34949348769898697,0.6070911722141823,0.743849493487699,0.7916063675832128,0.8002894356005789,0.7930535455861071,0.13675832127351673,0.008683068017366069,0.01736613603473225,-0.00723589001447178,0.01013024602026047
