repeat,n_cases,n_events,cindex_official_pca_cox,cindex_attention,cindex_mamba,delta_mamba_minus_official,delta_mamba_minus_attention
0,214,64,0.6573897572753844,0.6817892997839624,0.7235989325200153,0.06620917524463088,0.04180963273605287
1,214,64,0.6595501334349981,0.7237260134705807,0.6849663235481002,0.025416190113102033,-0.03875968992248058
2,214,64,0.6127843436268904,0.6816622188333968,0.7004701995170924,0.08768585589020206,0.018807980683695602
