candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
mamba,official_pca_cox,0.05977040708264499,0.015588034706299585,0.10500608673582448,0.01,5000
mamba,attention,0.007285974499089298,-0.01355856766858478,0.028388402326904736,0.5076,5000
