candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
ensemble_train_percentile50,mamba,0.03418477570212227,0.005249793217524007,0.0619681921736038,0.0248,5000
ensemble_train_percentile50,attention,0.021985004447833283,0.0026853067496786713,0.04211507992934618,0.0268,5000
ensemble_raw50,mamba,0.013004617274537203,-0.00018276008911745264,0.02666339208250634,0.054,5000
ensemble_train_z50,mamba,0.030795950353708634,0.002602720336897067,0.059097482802952316,0.0348,5000
