repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,4,ensemble_train_z50,42,12,0.7356687898089171,40,11,0.7052238805970149,2,1,1.0
1,0,mamba,43,13,0.6287425149700598,37,11,0.6375,6,2,0.7142857142857143
1,0,attention,43,13,0.6706586826347305,37,11,0.6708333333333333,6,2,0.7142857142857143
1,0,ensemble_train_percentile50,43,13,0.6497005988023952,37,11,0.6541666666666667,6,2,0.7142857142857143
1,0,ensemble_raw50,43,13,0.6407185628742516,37,11,0.65,6,2,0.7142857142857143
1,0,ensemble_train_z50,43,13,0.6467065868263473,37,11,0.65,6,2,0.7142857142857143
1,1,mamba,43,13,0.5507246376811594,40,12,0.5501730103806228,3,1,0.0
1,1,attention,43,13,0.5768115942028985,40,12,0.5640138408304498,3,1,0.5
1,1,ensemble_train_percentile50,43,13,0.5579710144927537,40,12,0.5519031141868512,3,1,0.5
1,1,ensemble_raw50,43,13,0.5507246376811594,40,12,0.5397923875432526,3,1,0.5
1,1,ensemble_train_z50,43,13,0.5507246376811594,40,12,0.5397923875432526,3,1,0.5
1,2,mamba,43,13,0.6428571428571429,38,10,0.6666666666666666,5,3,0.4
1,2,attention,43,13,0.6127819548872181,38,10,0.6421568627450981,5,3,0.4
1,2,ensemble_train_percentile50,43,13,0.6240601503759399,38,10,0.6568627450980392,5,3,0.4
1,2,ensemble_raw50,43,13,0.6165413533834586,38,10,0.6470588235294118,5,3,0.4
1,2,ensemble_train_z50,43,13,0.6203007518796992,38,10,0.6519607843137255,5,3,0.4
1,3,mamba,43,13,0.6725978647686833,36,11,0.6844919786096256,7,2,0.6363636363636364
1,3,attention,43,13,0.6334519572953736,36,11,0.6363636363636364,7,2,0.6363636363636364
1,3,ensemble_train_percentile50,43,13,0.6512455516014235,36,11,0.6818181818181818,7,2,0.5909090909090909
1,3,ensemble_raw50,43,13,0.6583629893238434,36,11,0.6844919786096256,7,2,0.6363636363636364
1,3,ensemble_train_z50,43,13,0.6583629893238434,36,11,0.679144385026738,7,2,0.6363636363636364
1,4,mamba,42,12,0.7492354740061162,39,9,0.7837837837837838,3,3,1.0
1,4,attention,42,12,0.7400611620795107,39,9,0.7342342342342343,3,3,1.0
1,4,ensemble_train_percentile50,42,12,0.7553516819571865,39,9,0.7657657657657657,3,3,1.0
1,4,ensemble_raw50,42,12,0.7584097859327217,39,9,0.7747747747747747,3,3,1.0
1,4,ensemble_train_z50,42,12,0.7522935779816514,39,9,0.7612612612612613,3,3,1.0
2,0,mamba,43,13,0.7032258064516129,39,12,0.7091633466135459,4,1,0.6666666666666666
2,0,attention,43,13,0.7193548387096774,39,12,0.7131474103585658,4,1,1.0
2,0,ensemble_train_percentile50,43,13,0.7129032258064516,39,12,0.7131474103585658,4,1,0.6666666666666666
2,0,ensemble_raw50,43,13,0.7193548387096774,39,12,0.7171314741035857,4,1,1.0
2,0,ensemble_train_z50,43,13,0.7225806451612903,39,12,0.7211155378486056,4,1,1.0
2,1,mamba,43,13,0.69,41,11,0.6458333333333334,2,2,1.0
2,1,attention,43,13,0.6733333333333333,41,11,0.625,2,2,1.0
2,1,ensemble_train_percentile50,43,13,0.6866666666666666,41,11,0.6416666666666667,2,2,1.0
2,1,ensemble_raw50,43,13,0.69,41,11,0.6458333333333334,2,2,1.0
2,1,ensemble_train_z50,43,13,0.69,41,11,0.6458333333333334,2,2,1.0
2,2,mamba,43,13,0.7214484679665738,40,11,0.6993006993006993,3,2,0.6666666666666666
2,2,attention,43,13,0.754874651810585,40,11,0.7517482517482518,3,2,0.6666666666666666
2,2,ensemble_train_percentile50,43,13,0.7506963788300836,40,11,0.7395104895104895,3,2,0.6666666666666666
2,2,ensemble_raw50,43,13,0.7437325905292479,40,11,0.7237762237762237,3,2,0.6666666666666666
2,2,ensemble_train_z50,43,13,0.7437325905292479,40,11,0.7307692307692307,3,2,0.6666666666666666
2,3,mamba,43,13,0.7109144542772862,34,10,0.7157360406091371,9,3,0.7647058823529411
2,3,attention,43,13,0.6519174041297935,34,10,0.6802030456852792,9,3,0.5882352941176471
2,3,ensemble_train_percentile50,43,13,0.6887905604719764,34,10,0.7030456852791879,9,3,0.6470588235294118
2,3,ensemble_raw50,43,13,0.6814159292035398,34,10,0.6852791878172588,9,3,0.6470588235294118
2,3,ensemble_train_z50,43,13,0.6814159292035398,34,10,0.6852791878172588,9,3,0.6470588235294118
2,4,mamba,42,12,0.5221238938053098,36,9,0.5364238410596026,6,3,0.3333333333333333
2,4,attention,42,12,0.5265486725663717,36,9,0.5695364238410596,6,3,0.3333333333333333
2,4,ensemble_train_percentile50,42,12,0.5243362831858407,36,9,0.5463576158940397,6,3,0.3333333333333333
2,4,ensemble_raw50,42,12,0.5265486725663717,36,9,0.5496688741721855,6,3,0.3333333333333333
2,4,ensemble_train_z50,42,12,0.5398230088495575,36,9,0.5695364238410596,6,3,0.3333333333333333
