model,repeat,mean_fold_cindex
adapted,0,0.8473857597105651
adapted,1,0.769973544973545
adapted,2,0.7624242424242424
frozen,0,0.7788842821990765
frozen,1,0.7273148148148147
frozen,2,0.7266666666666667
