model,repeat,fold,epochs
frozen,0,0,5
adapted,0,0,5
frozen,0,1,5
adapted,0,1,5
frozen,0,2,5
adapted,0,2,5
frozen,0,3,5
adapted,0,3,5
frozen,0,4,5
adapted,0,4,5
frozen,1,0,5
adapted,1,0,5
frozen,1,1,5
adapted,1,1,5
frozen,1,2,5
adapted,1,2,3
frozen,1,3,5
adapted,1,3,3
frozen,1,4,5
adapted,1,4,5
frozen,2,0,5
adapted,2,0,5
frozen,2,1,5
adapted,2,1,5
frozen,2,2,5
adapted,2,2,5
frozen,2,3,5
adapted,2,3,5
frozen,2,4,5
adapted,2,4,5
