repeat,n_cases,n_events,cindex_tabular,cindex_vision_resnet,cindex_vision_mamba,cindex_fusion_resnet,cindex_fusion_mamba,delta_fusion_mamba_minus_resnet,delta_fusion_mamba_minus_tabular,delta_vision_mamba_minus_resnet
0,210,64,0.791042815865511,0.6199763593380615,0.6890596270028894,0.7995797215655371,0.796033622274757,-0.0035460992907800915,0.004990806409246096,0.06908326766482786
1,210,64,0.77876280535855,0.6214210664565275,0.6903073286052009,0.7697005516154453,0.7749540320462306,0.005253480430785329,-0.0038087733123194356,0.06888626214867344
2,210,64,0.7978066719201471,0.6566193853427896,0.652876280535855,0.7828999211977935,0.7888100866824271,0.005910165484633634,-0.008996585237719956,-0.0037431048069346273
