candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
vision_mamba,vision_resnet,0.04474214166885556,-0.007588787893398263,0.09951175437907679,0.0988,5000
fusion_mamba,fusion_resnet,0.002539182208212957,-0.01168797365228338,0.016900340418103264,0.7328,5000
fusion_mamba,tabular,-0.002604850713597765,-0.017484607476871247,0.011015839828340706,0.7372,5000
