cap,mean_cindex,std_fold_cindex,mean_delta,wins,ties,losses,capped_folds
5,0.6965614948654516,0.08517314653622872,0.017266139864704575,7,2,6,11
10,0.6842640068205879,0.0928662306068452,0.0049686518198408195,5,2,8,8
15,0.6747864767725135,0.11455859173750571,-0.004508878228233615,2,3,10,3
