candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
ensemble_train_percentile50,mamba,0.020142330664633373,-0.005327863874198045,0.04571147103963022,0.1256,5000
ensemble_train_percentile50,attention,0.03183377811666029,0.010811374606418556,0.05177554991031944,0.0048,5000
ensemble_raw50,mamba,0.0034735459821239414,-0.010223226154105067,0.016983276936072475,0.5888,5000
ensemble_train_z50,mamba,0.017367729910619707,-0.007615971264661347,0.042541559877102196,0.168,5000
