repeat,fold,model,tokens,use_position,n_outer_train,n_heldout,selected_epochs,inner_epochs,inner_cindex_mean,train_risk_mean,train_risk_std,parameters
0,0,attention,32,False,171,43,13,"[10, 13, 27]",0.7481800661711459,-1.2539636636076614,1.6819561089738064,84033
0,0,mamba,64,False,171,43,10,"[9, 13, 10]",0.7524102004050777,-1.1209990082237848,2.2419168596928873,319041
0,1,attention,32,False,171,43,3,"[3, 3, 43]",0.746110343557152,0.356066695866529,0.8841934475928349,84033
0,1,mamba,64,False,171,43,9,"[9, 8, 11]",0.7511425808234319,-0.6948655526104727,2.07622653086207,319041
0,2,attention,32,False,171,43,5,"[36, 5, 5]",0.6982265906000706,-0.26983293154609134,1.1211387346015094,84033
0,2,mamba,64,False,171,43,22,"[4, 41, 22]",0.6890867009450417,-2.0708744584511942,3.1355049711778222,319041
0,3,attention,32,False,171,43,11,"[22, 1, 11]",0.7407453436273421,-0.5237803217132537,1.4926939155826435,84033
0,3,mamba,64,False,171,43,8,"[8, 8, 16]",0.7407025290676147,-0.5480740209769087,1.5297621745684176,319041
0,4,attention,32,False,172,42,20,"[17, 20, 48]",0.7143339593047195,-1.5232494884105616,2.326943237686355,84033
0,4,mamba,64,False,172,42,11,"[39, 10, 11]",0.7116981556455241,-0.920956012814544,1.9778632613354197,319041
1,0,attention,32,False,171,43,7,"[7, 11, 7]",0.7175447087099004,-0.21707814940583636,1.0738093847814645,84033
1,0,mamba,64,False,171,43,16,"[7, 27, 16]",0.7371751430154285,0.17627919569872974,3.208410214145791,319041
1,1,attention,32,False,171,43,8,"[8, 7, 17]",0.7274688120712982,0.6154643572997629,1.4286674042884129,84033
1,1,mamba,64,False,171,43,6,"[6, 6, 39]",0.7486234283601179,0.09899440646302282,1.3968203021617598,319041
1,2,attention,32,False,171,43,12,"[12, 5, 31]",0.7112985221970861,-1.0109905560898502,1.556397460714048,84033
1,2,mamba,64,False,171,43,9,"[9, 2, 52]",0.7174300498413057,-1.27166646490233,1.7159772185520883,319041
1,3,attention,32,False,171,43,9,"[4, 13, 9]",0.7626839523813657,-0.4729018544680194,1.3624517981643585,84033
1,3,mamba,64,False,171,43,17,"[19, 17, 6]",0.7583565458267167,-2.268151820817015,3.701503990993333,319041
1,4,attention,32,False,172,42,12,"[2, 12, 12]",0.6691976892637207,-0.38152149432273796,1.570287590333335,84033
1,4,mamba,64,False,172,42,8,"[1, 19, 8]",0.7026315104474071,-0.47870323997597364,1.6169274491064052,319041
2,0,attention,32,False,171,43,19,"[45, 19, 7]",0.7128670833201146,-1.427442266121071,2.120323104263805,84033
2,0,mamba,64,False,171,43,16,"[16, 27, 6]",0.7233696054482198,-2.396839471936923,3.9336426865439567,319041
2,1,attention,32,False,171,43,14,"[18, 1, 14]",0.7126949961748855,-0.2580793209766087,1.7439861236469734,84033
2,1,mamba,64,False,171,43,8,"[11, 6, 8]",0.7382506352380965,-0.8862798934617238,1.3977827930404372,319041
2,2,attention,32,False,171,43,19,"[19, 23, 4]",0.704417237927108,-1.3998503264976523,2.0328984857902315,84033
2,2,mamba,64,False,171,43,13,"[13, 1, 13]",0.7002919351017569,-2.1263149082660675,2.7629916219195585,319041
2,3,attention,32,False,171,43,20,"[20, 2, 27]",0.7086249419014313,-1.5817583444697119,2.1776267857694878,84033
2,3,mamba,64,False,171,43,11,"[29, 2, 11]",0.7147012260379374,-1.1218794877069038,2.159711339132834,319041
2,4,attention,32,False,172,42,10,"[26, 7, 10]",0.7528900317245374,-0.6163776639502409,1.5851316562368853,84033
2,4,mamba,64,False,172,42,29,"[29, 6, 36]",0.7649438407472909,-3.960858820526059,4.948351961635325,319041
