model,repeat,mean_fold_cindex
full,0,0.8141729868203728
full,1,0.8000330687830688
full,2,0.7311931818181818
global_local,0,0.8092169750901675
global_local,1,0.8574404761904763
global_local,2,0.727840909090909
local,0,0.7275477803620184
local,1,0.7221230158730159
local,2,0.7332007575757575
