candidate,reference,delta,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap,p_holm_within_run
full_moments,full,0.016393435832627423,-0.04828412489708023,0.09226356863393864,0.598,5000,1.0
renal_crop_moments,renal_crop,-0.01464552476046721,-0.08368446339852115,0.06869604109584147,0.72,5000,1.0
