seed,n_train,n_heldout,events_heldout,cindex_tabular,cindex_vision_resnet,cindex_vision_mamba,cindex_fusion_resnet,cindex_fusion_mamba,delta_fusion_mamba_minus_resnet,delta_fusion_mamba_minus_tabular,resnet_weight_tabular,resnet_weight_text,resnet_weight_vision,mamba_weight_tabular,mamba_weight_text,mamba_weight_vision,resnet_fusion_inner_cindex,mamba_fusion_inner_cindex,mamba_heldout_epochs,mamba_crossfit_epochs,mamba_heldout_inner_cindex_mean
42,168,42,13,0.8571428571428571,0.6810631229235881,0.7591362126245847,0.8571428571428571,0.8571428571428571,0.0,0.0,0.9,0.0,0.1,0.7,0.0,0.3,0.7638745615844853,0.7694450175366205,20,"[7, 10, 4]",0.6625147589319368
123,168,42,13,0.7919161676646707,0.6676646706586826,0.7709580838323353,0.8143712574850299,0.8308383233532934,0.01646706586826352,0.038922155688622784,0.7,0.0,0.3,0.8,0.0,0.2,0.8095690747782003,0.7921419518377694,7,"[8, 28, 1]",0.6227536415580942
456,168,42,13,0.8681506849315068,0.6284246575342466,0.7123287671232876,0.8767123287671232,0.8698630136986302,-0.006849315068493067,0.00171232876712335,0.7,0.0,0.3,0.7,0.1,0.2,0.8002645502645502,0.7897842897842898,5,"[8, 5, 2]",0.6804720479452263
789,168,42,13,0.8479623824451411,0.6536050156739812,0.7727272727272727,0.8369905956112853,0.8746081504702194,0.037617554858934144,0.026645768025078342,0.7,0.0,0.3,0.8,0.0,0.2,0.7995209331389294,0.7925432201624661,8,"[15, 12, 2]",0.7143261956180095
1024,168,42,13,0.63003663003663,0.5677655677655677,0.6172161172161172,0.6703296703296703,0.6575091575091575,-0.012820512820512775,0.027472527472527486,0.7,0.0,0.3,0.8,0.0,0.2,0.8185858585858586,0.8158585858585858,7,"[10, 6, 9]",0.7372783021548539
