model,repeat,mean_fold_cindex
adapted,0,0.7843015247019697
adapted,1,0.7473875661375662
adapted,2,0.7318939393939393
frozen,0,0.7827392950641003
frozen,1,0.7408730158730159
frozen,2,0.7186363636363636
