repeat,fold,split_seed,configuration,slice_span,n_train,n_heldout,events_heldout,selected_epochs,inner_epochs,inner_cindex_mean,parameters,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
2,1,4250,span2,2,171,43,13,6,"[10, 6, 2]",0.6733028112852245,319041,43,13,0.71,41,11,0.6625,2,2,1.0
2,1,4250,span4,4,171,43,13,6,"[5, 6, 10]",0.6627304637319292,319041,43,13,0.7133333333333334,41,11,0.6666666666666666,2,2,1.0
2,2,4251,span1,1,171,43,13,13,"[13, 1, 13]",0.7002919351017569,319041,43,13,0.7604456824512534,40,11,0.7832167832167832,3,2,0.6666666666666666
2,2,4251,span2,2,171,43,13,12,"[12, 2, 13]",0.7050416122154206,319041,43,13,0.6573816155988857,40,11,0.7027972027972028,3,2,0.3333333333333333
2,2,4251,span4,4,171,43,13,8,"[8, 7, 20]",0.6954750059227671,319041,43,13,0.6908077994428969,40,11,0.7167832167832168,3,2,0.6666666666666666
2,3,4252,span1,1,171,43,13,11,"[29, 2, 11]",0.7147012260379374,319041,43,13,0.6784660766961652,34,10,0.7055837563451777,9,3,0.5294117647058824
2,3,4252,span2,2,171,43,13,17,"[22, 3, 17]",0.7056423914170469,319041,43,13,0.616519174041298,34,10,0.6751269035532995,9,3,0.6470588235294118
2,3,4252,span4,4,171,43,13,13,"[18, 4, 13]",0.7154575015128021,319041,43,13,0.7227138643067846,34,10,0.7614213197969543,9,3,0.7058823529411765
2,4,4253,span1,1,172,42,12,29,"[29, 6, 36]",0.7649438407472909,319041,42,12,0.584070796460177,36,9,0.5827814569536424,6,3,0.6666666666666666
2,4,4253,span2,2,172,42,12,7,"[25, 5, 7]",0.7490247368143952,319041,42,12,0.504424778761062,36,9,0.5231788079470199,6,3,0.16666666666666666
2,4,4253,span4,4,172,42,12,11,"[8, 11, 11]",0.7276251333991183,319041,42,12,0.48672566371681414,36,9,0.5165562913907285,6,3,0.16666666666666666
