candidate,reference,mean_delta_across_repeats,ci95_lo,ci95_hi,bootstrap_p,n_bootstrap
span2,span1,-0.03321048841445332,-0.06750397127056658,0.0005621763187591483,0.0548,5000
span4,span1,-0.0401999406955564,-0.08401677483191383,0.002007913960133926,0.0632,5000
span4,span2,-0.006989452281103074,-0.03886900745592117,0.026268063232354717,0.708,5000
