repeat,configuration,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,mamba_unidirectional,214,64,0.695386961494472,190,53,0.7282344779743323,24,11,0.5135135135135135
0,mamba_bidirectional,214,64,0.6869996187571483,190,53,0.7211238293444329,24,11,0.5067567567567568
1,mamba_unidirectional,214,64,0.6758164951073834,190,53,0.7004856052722858,24,11,0.5675675675675675
1,mamba_bidirectional,214,64,0.6737831998983352,190,53,0.693721817551162,24,11,0.5675675675675675
2,mamba_unidirectional,214,64,0.6891599949167619,190,53,0.6940686784599376,24,11,0.6216216216216216
2,mamba_bidirectional,214,64,0.6586605667810396,190,53,0.6838362816510579,24,11,0.5405405405405406
