model,repeat,mean_fold_cindex
mean,0,0.6768513531051779
mean,1,0.6810184921854934
mean,2,0.6733886582425305
moments,0,0.6526174437793477
moments,1,0.6665110203239784
moments,2,0.6353848154029536
