repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
2,2,mamba,43,13,0.7437325905292479,40,11,0.7447552447552448,3,2,0.6666666666666666
2,2,attention,43,13,0.7632311977715878,40,11,0.7692307692307693,3,2,0.6666666666666666
2,2,ensemble_train_percentile50,43,13,0.745125348189415,40,11,0.756993006993007,3,2,0.6666666666666666
2,2,ensemble_raw50,43,13,0.7437325905292479,40,11,0.7552447552447552,3,2,0.6666666666666666
2,2,ensemble_train_z50,43,13,0.7493036211699164,40,11,0.7587412587412588,3,2,0.6666666666666666
2,3,mamba,43,13,0.6489675516224189,34,10,0.7563451776649747,9,3,0.35294117647058826
2,3,attention,43,13,0.7020648967551623,34,10,0.7461928934010152,9,3,0.7058823529411765
2,3,ensemble_train_percentile50,43,13,0.6873156342182891,34,10,0.7563451776649747,9,3,0.47058823529411764
2,3,ensemble_raw50,43,13,0.696165191740413,34,10,0.7614213197969543,9,3,0.5882352941176471
2,3,ensemble_train_z50,43,13,0.6784660766961652,34,10,0.751269035532995,9,3,0.47058823529411764
2,4,mamba,42,12,0.47345132743362833,36,9,0.5099337748344371,6,3,0.0
2,4,attention,42,12,0.48672566371681414,36,9,0.543046357615894,6,3,0.0
2,4,ensemble_train_percentile50,42,12,0.4911504424778761,36,9,0.5364238410596026,6,3,0.0
2,4,ensemble_raw50,42,12,0.5,36,9,0.5496688741721855,6,3,0.0
2,4,ensemble_train_z50,42,12,0.5,36,9,0.5496688741721855,6,3,0.0
