seed,n_train,n_heldout,events_train,events_heldout,cindex_convex,cindex_concat,cindex_cross_attention,cindex_orthogonal_concat,orthogonal_concat_validation_cindex,orthogonal_concat_epochs,orthogonal_concat_parameters,orthogonal_concat_mean_weight_tabular,orthogonal_concat_mean_weight_text,orthogonal_concat_mean_weight_vision,cindex_hierarchical,hierarchical_validation_cindex,hierarchical_epochs,hierarchical_parameters,hierarchical_mean_weight_tabular,hierarchical_mean_weight_text,hierarchical_mean_weight_vision,cindex_hierarchical_concat_gated,hierarchical_concat_gated_validation_cindex,hierarchical_concat_gated_epochs,hierarchical_concat_gated_parameters,hierarchical_concat_gated_mean_weight_tabular,hierarchical_concat_gated_mean_weight_text,hierarchical_concat_gated_mean_weight_vision,cindex_orthogonal_hierarchical,orthogonal_hierarchical_validation_cindex,orthogonal_hierarchical_epochs,orthogonal_hierarchical_parameters,orthogonal_hierarchical_mean_weight_tabular,orthogonal_hierarchical_mean_weight_text,orthogonal_hierarchical_mean_weight_vision
42,168,42,51,13,0.8571428571428571,0.7009966777408638,0.7940199335548173,0.6877076411960132,0.5846153846153846,22,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8604651162790697,0.8615384615384616,38,2595,0.6830217242240906,0.15746846795082092,0.15950974822044373,0.8471760797342193,0.8102564102564103,98,4610,0.3879340589046478,0.3879340589046478,0.22413192689418793,0.8571428571428571,0.8666666666666667,41,2595,0.6557328701019287,0.15514759719371796,0.18911947309970856
123,168,42,51,13,0.8143712574850299,0.7994011976047904,0.8473053892215568,0.7035928143712575,0.9080459770114943,37,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8023952095808383,0.9252873563218391,35,2595,0.6440631151199341,0.18637822568416595,0.16955861449241638,0.8682634730538922,0.7931034482758621,53,4610,0.3827636241912842,0.3827636241912842,0.23447275161743164,0.7395209580838323,0.867816091954023,26,2595,0.6610245108604431,0.17201365530490875,0.16696178913116455
456,168,42,51,13,0.8767123287671232,0.8082191780821918,0.8287671232876712,0.8698630136986302,0.6872037914691943,38,2369,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8356164383561644,0.7582938388625592,133,2563,0.5708602666854858,0.22190552949905396,0.2072342038154602,0.8458904109589042,0.6824644549763034,49,4578,0.3926379680633545,0.3926379680633545,0.2147241085767746,0.8527397260273972,0.7298578199052133,154,2563,0.5467592477798462,0.2481612265110016,0.20507952570915222
789,168,42,51,13,0.8369905956112853,0.8119122257053292,0.8463949843260188,0.780564263322884,0.7967914438502673,32,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8495297805642633,0.8342245989304813,111,2595,0.5942168235778809,0.25027018785476685,0.15551301836967468,0.7962382445141066,0.7112299465240641,18,4610,0.394150972366333,0.394150972366333,0.21169809997081757,0.8369905956112853,0.786096256684492,71,2595,0.6221531629562378,0.23261941969394684,0.14522740244865417
1024,168,42,51,13,0.6703296703296703,0.6373626373626373,0.6410256410256411,0.6996336996336996,0.9037433155080213,101,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.684981684981685,0.9251336898395722,42,2595,0.6452997922897339,0.171429842710495,0.18327033519744873,0.6446886446886447,0.893048128342246,69,4610,0.40556207299232483,0.40556207299232483,0.18887583911418915,0.6996336996336996,0.93048128342246,75,2595,0.5957413911819458,0.19002267718315125,0.21423594653606415
