seed,n_train,n_heldout,events_train,events_heldout,cindex_convex,cindex_concat,concat_validation_cindex,concat_epochs,concat_parameters,concat_mean_weight_tabular,concat_mean_weight_text,concat_mean_weight_vision,cindex_cross_attention,cross_attention_validation_cindex,cross_attention_epochs,cross_attention_parameters,cross_attention_mean_weight_tabular,cross_attention_mean_weight_text,cross_attention_mean_weight_vision
42,168,42,51,13,0.8571428571428571,0.7009966777408638,0.6974358974358974,18,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.7940199335548173,0.7230769230769231,11,10914,0.3712977468967438,0.30948778986930847,0.31921443343162537
123,168,42,51,13,0.8143712574850299,0.7994011976047904,0.8793103448275862,42,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8473053892215568,0.8620689655172413,68,10914,0.4521689713001251,0.25257259607315063,0.29525840282440186
456,168,42,51,13,0.8767123287671232,0.8082191780821918,0.7156398104265402,23,2369,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8287671232876712,0.7393364928909952,57,10882,0.3906335234642029,0.2677019536495209,0.3416644334793091
789,168,42,51,13,0.8369905956112853,0.8119122257053292,0.786096256684492,105,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.8463949843260188,0.8288770053475936,28,10914,0.41881832480430603,0.3186320662498474,0.26254963874816895
1024,168,42,51,13,0.6703296703296703,0.6373626373626373,0.9144385026737968,92,2401,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.6410256410256411,0.8502673796791443,144,10914,0.3718999922275543,0.393517404794693,0.23458260297775269
