repeat,fold,model,n_all,events_all,cindex_all,n_ct,events_ct,cindex_ct,n_mr,events_mr,cindex_mr
0,1,multiwindow_ensemble_train_z50,43,13,0.67003367003367,39,12,0.6987951807228916,4,1,0.0
0,2,single_mamba,43,13,0.7708333333333334,36,9,0.8414634146341463,7,4,0.5625
0,2,single_attention,43,13,0.7256944444444444,36,9,0.725609756097561,7,4,0.75
0,2,single_ensemble_train_percentile50,43,13,0.7881944444444444,36,9,0.7926829268292683,7,4,0.625
0,2,single_ensemble_raw50,43,13,0.7847222222222222,36,9,0.8170731707317073,7,4,0.5625
0,2,single_ensemble_train_z50,43,13,0.7916666666666666,36,9,0.7987804878048781,7,4,0.6875
0,2,multiwindow_mamba,43,13,0.8090277777777778,36,9,0.8170731707317073,7,4,0.875
0,2,multiwindow_attention,43,13,0.75,36,9,0.7439024390243902,7,4,0.875
0,2,multiwindow_ensemble_train_percentile50,43,13,0.78125,36,9,0.7926829268292683,7,4,0.8125
0,2,multiwindow_ensemble_raw50,43,13,0.7847222222222222,36,9,0.7926829268292683,7,4,0.8125
0,2,multiwindow_ensemble_train_z50,43,13,0.78125,36,9,0.7865853658536586,7,4,0.8125
0,3,single_mamba,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,single_attention,43,13,0.6858006042296072,38,11,0.703125,5,2,0.75
0,3,single_ensemble_train_percentile50,43,13,0.6993957703927492,38,11,0.716796875,5,2,0.75
0,3,single_ensemble_raw50,43,13,0.7039274924471299,38,11,0.72265625,5,2,0.75
0,3,single_ensemble_train_z50,43,13,0.7039274924471299,38,11,0.72265625,5,2,0.75
0,3,multiwindow_mamba,43,13,0.7069486404833837,38,11,0.7265625,5,2,0.75
0,3,multiwindow_attention,43,13,0.7129909365558912,38,11,0.7265625,5,2,0.75
0,3,multiwindow_ensemble_train_percentile50,43,13,0.6948640483383686,38,11,0.7109375,5,2,0.75
0,3,multiwindow_ensemble_raw50,43,13,0.7039274924471299,38,11,0.72265625,5,2,0.75
0,3,multiwindow_ensemble_train_z50,43,13,0.7009063444108762,38,11,0.71875,5,2,0.75
0,4,single_mamba,42,12,0.7101910828025477,40,11,0.6865671641791045,2,1,1.0
0,4,single_attention,42,12,0.7229299363057324,40,11,0.7089552238805971,2,1,1.0
0,4,single_ensemble_train_percentile50,42,12,0.7133757961783439,40,11,0.6902985074626866,2,1,1.0
0,4,single_ensemble_raw50,42,12,0.7070063694267515,40,11,0.6828358208955224,2,1,1.0
0,4,single_ensemble_train_z50,42,12,0.7070063694267515,40,11,0.6828358208955224,2,1,1.0
0,4,multiwindow_mamba,42,12,0.7611464968152867,40,11,0.746268656716418,2,1,1.0
0,4,multiwindow_attention,42,12,0.7292993630573248,40,11,0.7089552238805971,2,1,1.0
0,4,multiwindow_ensemble_train_percentile50,42,12,0.7484076433121019,40,11,0.7313432835820896,2,1,1.0
0,4,multiwindow_ensemble_raw50,42,12,0.7452229299363057,40,11,0.7276119402985075,2,1,1.0
0,4,multiwindow_ensemble_train_z50,42,12,0.7452229299363057,40,11,0.7276119402985075,2,1,1.0
1,0,single_mamba,43,13,0.6287425149700598,37,11,0.6958333333333333,6,2,0.2857142857142857
1,0,single_attention,43,13,0.718562874251497,37,11,0.7458333333333333,6,2,0.7142857142857143
1,0,single_ensemble_train_percentile50,43,13,0.6901197604790419,37,11,0.74375,6,2,0.5714285714285714
1,0,single_ensemble_raw50,43,13,0.6616766467065869,37,11,0.7291666666666666,6,2,0.42857142857142855
1,0,single_ensemble_train_z50,43,13,0.6946107784431138,37,11,0.75,6,2,0.5714285714285714
1,0,multiwindow_mamba,43,13,0.6796407185628742,37,11,0.75,6,2,0.2857142857142857
1,0,multiwindow_attention,43,13,0.7844311377245509,37,11,0.8125,6,2,0.8571428571428571
1,0,multiwindow_ensemble_train_percentile50,43,13,0.7544910179640718,37,11,0.8166666666666667,6,2,0.7142857142857143
1,0,multiwindow_ensemble_raw50,43,13,0.7095808383233533,37,11,0.7708333333333334,6,2,0.42857142857142855
1,0,multiwindow_ensemble_train_z50,43,13,0.7335329341317365,37,11,0.7875,6,2,0.7142857142857143
1,1,single_mamba,43,13,0.6289855072463768,40,12,0.615916955017301,3,1,1.0
1,1,single_attention,43,13,0.5855072463768116,40,12,0.5709342560553633,3,1,1.0
1,1,single_ensemble_train_percentile50,43,13,0.6043478260869565,40,12,0.5899653979238755,3,1,1.0
1,1,single_ensemble_raw50,43,13,0.6115942028985507,40,12,0.5951557093425606,3,1,1.0
1,1,single_ensemble_train_z50,43,13,0.6115942028985507,40,12,0.5951557093425606,3,1,1.0
1,1,multiwindow_mamba,43,13,0.6550724637681159,40,12,0.6332179930795848,3,1,1.0
1,1,multiwindow_attention,43,13,0.5739130434782609,40,12,0.5536332179930796,3,1,1.0
1,1,multiwindow_ensemble_train_percentile50,43,13,0.6086956521739131,40,12,0.5882352941176471,3,1,1.0
1,1,multiwindow_ensemble_raw50,43,13,0.6144927536231884,40,12,0.5951557093425606,3,1,1.0
1,1,multiwindow_ensemble_train_z50,43,13,0.6144927536231884,40,12,0.5951557093425606,3,1,1.0
1,2,single_mamba,43,13,0.7218045112781954,38,10,0.7794117647058824,5,3,0.2
1,2,single_attention,43,13,0.7105263157894737,38,10,0.7598039215686274,5,3,0.6
1,2,single_ensemble_train_percentile50,43,13,0.731203007518797,38,10,0.7696078431372549,5,3,0.6
1,2,single_ensemble_raw50,43,13,0.7293233082706767,38,10,0.7696078431372549,5,3,0.6
1,2,single_ensemble_train_z50,43,13,0.7255639097744361,38,10,0.7696078431372549,5,3,0.6
1,2,multiwindow_mamba,43,13,0.7556390977443609,38,10,0.8235294117647058,5,3,0.2
1,2,multiwindow_attention,43,13,0.7218045112781954,38,10,0.7696078431372549,5,3,0.6
1,2,multiwindow_ensemble_train_percentile50,43,13,0.7443609022556391,38,10,0.7990196078431373,5,3,0.4
1,2,multiwindow_ensemble_raw50,43,13,0.7406015037593985,38,10,0.7941176470588235,5,3,0.4
1,2,multiwindow_ensemble_train_z50,43,13,0.7443609022556391,38,10,0.7990196078431373,5,3,0.4
1,3,single_mamba,43,13,0.7722419928825622,36,11,0.7647058823529411,7,2,0.9090909090909091
1,3,single_attention,43,13,0.6619217081850534,36,11,0.6737967914438503,7,2,0.6363636363636364
