model,repeat,fold,inner,epoch,train_loss,validation_cindex
frozen,0,0,0,1,2.9123470783233643,0.7586206896551724
frozen,0,0,0,2,2.3633618354797363,0.8448275862068966
frozen,0,0,0,3,2.0337469577789307,0.8275862068965517
frozen,0,0,0,4,1.7849032878875732,0.8793103448275862
frozen,0,0,0,5,1.5770552158355713,0.896551724137931
frozen,0,0,0,6,1.3839480876922607,0.8793103448275862
frozen,0,0,0,7,1.2011010646820068,0.8620689655172413
frozen,0,0,0,8,1.0322635173797607,0.8275862068965517
frozen,0,0,0,9,0.8794201016426086,0.8275862068965517
frozen,0,0,0,10,0.7536877393722534,0.8275862068965517
frozen,0,0,0,11,0.6656612157821655,0.8103448275862069
frozen,0,0,0,12,0.5598320960998535,0.8103448275862069
frozen,0,0,0,13,0.5017073154449463,0.8275862068965517
frozen,0,0,0,14,0.46335428953170776,0.8275862068965517
frozen,0,0,0,15,0.41972190141677856,0.7931034482758621
frozen,0,0,0,16,0.3885084092617035,0.7931034482758621
frozen,0,0,0,17,0.3826597332954407,0.8103448275862069
frozen,0,0,0,18,0.34916797280311584,0.8103448275862069
frozen,0,0,0,19,0.32987987995147705,0.8103448275862069
frozen,0,0,0,20,0.3143634796142578,0.8275862068965517
frozen,0,0,1,1,2.827969551086426,0.8918918918918919
frozen,0,0,1,2,2.3600692749023438,0.8918918918918919
frozen,0,0,1,3,1.998228907585144,0.918918918918919
frozen,0,0,1,4,1.7168911695480347,0.918918918918919
frozen,0,0,1,5,1.4826163053512573,0.918918918918919
frozen,0,0,1,6,1.2707101106643677,0.918918918918919
frozen,0,0,1,7,1.0869828462600708,0.918918918918919
frozen,0,0,1,8,0.919633686542511,0.918918918918919
frozen,0,0,1,9,0.7653129696846008,0.918918918918919
frozen,0,0,1,10,0.6436256766319275,0.9459459459459459
frozen,0,0,1,11,0.5428418517112732,0.972972972972973
frozen,0,0,1,12,0.49692031741142273,0.972972972972973
frozen,0,0,1,13,0.4680439233779907,0.9459459459459459
frozen,0,0,1,14,0.5541057586669922,0.9459459459459459
frozen,0,0,1,15,0.4583722949028015,0.972972972972973
frozen,0,0,1,16,0.5385717749595642,0.972972972972973
frozen,0,0,1,17,0.5087307095527649,0.972972972972973
frozen,0,0,1,18,0.3814927935600281,0.972972972972973
frozen,0,0,1,19,0.40976932644844055,0.972972972972973
frozen,0,0,1,20,0.4032195210456848,0.972972972972973
frozen,0,0,1,21,0.3783913850784302,0.972972972972973
frozen,0,0,1,22,0.347354918718338,0.972972972972973
frozen,0,0,1,23,0.34467262029647827,0.9459459459459459
frozen,0,0,1,24,0.35531389713287354,0.972972972972973
frozen,0,0,1,25,0.33247697353363037,0.972972972972973
frozen,0,0,1,26,0.30930379033088684,0.972972972972973
frozen,0,0,2,1,2.9396936893463135,0.8214285714285714
frozen,0,0,2,2,2.3266425132751465,0.7678571428571429
frozen,0,0,2,3,1.9301438331604004,0.7678571428571429
frozen,0,0,2,4,1.6328219175338745,0.7857142857142857
frozen,0,0,2,5,1.4047633409500122,0.7857142857142857
frozen,0,0,2,6,1.212015151977539,0.8035714285714286
frozen,0,0,2,7,1.0384413003921509,0.8214285714285714
frozen,0,0,2,8,0.8843437433242798,0.8214285714285714
frozen,0,0,2,9,0.7567653656005859,0.8571428571428571
frozen,0,0,2,10,0.6447802782058716,0.8214285714285714
frozen,0,0,2,11,0.568526566028595,0.8392857142857143
frozen,0,0,2,12,0.5154154300689697,0.8392857142857143
frozen,0,0,2,13,0.48947766423225403,0.8571428571428571
frozen,0,0,2,14,0.45068156719207764,0.8392857142857143
frozen,0,0,2,15,0.42033472657203674,0.8392857142857143
frozen,0,0,2,16,0.4009599983692169,0.8571428571428571
frozen,0,0,2,17,0.3890547752380371,0.8571428571428571
frozen,0,0,2,18,0.3715066611766815,0.8392857142857143
frozen,0,0,2,19,0.3490079641342163,0.8392857142857143
frozen,0,0,2,20,0.35320591926574707,0.8392857142857143
frozen,0,0,2,21,0.32446688413619995,0.8214285714285714
frozen,0,0,2,22,0.3202780485153198,0.8035714285714286
frozen,0,0,2,23,0.31042277812957764,0.8035714285714286
frozen,0,0,2,24,0.2938700020313263,0.8214285714285714
adapted,0,0,0,1,2.9123470783233643,0.7758620689655172
adapted,0,0,0,2,2.316938877105713,0.8620689655172413
adapted,0,0,0,3,1.951270341873169,0.8448275862068966
adapted,0,0,0,4,1.6692044734954834,0.8793103448275862
adapted,0,0,0,5,1.4252877235412598,0.896551724137931
adapted,0,0,0,6,1.2031548023223877,0.8793103448275862
adapted,0,0,0,7,1.0110565423965454,0.8620689655172413
adapted,0,0,0,8,0.8557752370834351,0.8620689655172413
adapted,0,0,0,9,0.7350276112556458,0.8620689655172413
adapted,0,0,0,10,0.635964572429657,0.8793103448275862
adapted,0,0,0,11,0.5419942140579224,0.8793103448275862
adapted,0,0,0,12,0.4840563237667084,0.8793103448275862
adapted,0,0,0,13,0.4510536789894104,0.8793103448275862
adapted,0,0,0,14,0.4023163914680481,0.8793103448275862
adapted,0,0,0,15,0.3609362542629242,0.8793103448275862
adapted,0,0,0,16,0.34932753443717957,0.8448275862068966
adapted,0,0,0,17,0.3325171172618866,0.8620689655172413
adapted,0,0,0,18,0.3151625394821167,0.8620689655172413
adapted,0,0,0,19,0.3081633150577545,0.8620689655172413
adapted,0,0,0,20,0.30220478773117065,0.8620689655172413
adapted,0,0,1,1,2.827969551086426,0.8918918918918919
adapted,0,0,1,2,2.3015031814575195,0.8918918918918919
adapted,0,0,1,3,1.9042611122131348,0.918918918918919
adapted,0,0,1,4,1.6042107343673706,0.918918918918919
adapted,0,0,1,5,1.3465617895126343,0.918918918918919
adapted,0,0,1,6,1.125415325164795,0.918918918918919
adapted,0,0,1,7,0.9384211897850037,0.918918918918919
adapted,0,0,1,8,0.7728123068809509,0.918918918918919
adapted,0,0,1,9,0.651332676410675,0.918918918918919
adapted,0,0,1,10,0.5531246066093445,0.9459459459459459
adapted,0,0,1,11,0.5026925802230835,0.9459459459459459
adapted,0,0,1,12,0.4634251892566681,0.9459459459459459
adapted,0,0,1,13,0.43572646379470825,0.9459459459459459
adapted,0,0,1,14,0.4303760230541229,0.9459459459459459
adapted,0,0,1,15,0.4120013117790222,0.9459459459459459
adapted,0,0,1,16,0.37691667675971985,0.9459459459459459
adapted,0,0,1,17,0.40372201800346375,0.9459459459459459
adapted,0,0,1,18,0.41038599610328674,0.9459459459459459
adapted,0,0,1,19,0.38358238339424133,0.9459459459459459
adapted,0,0,1,20,0.3700169622898102,0.9459459459459459
adapted,0,0,1,21,0.3487125337123871,0.9459459459459459
adapted,0,0,1,22,0.3638235032558441,0.9459459459459459
adapted,0,0,1,23,0.35045430064201355,0.9459459459459459
adapted,0,0,1,24,0.3395748436450958,0.9459459459459459
adapted,0,0,1,25,0.3308580219745636,0.9459459459459459
adapted,0,0,2,1,2.9396936893463135,0.8214285714285714
adapted,0,0,2,2,2.2786264419555664,0.75
adapted,0,0,2,3,1.8527148962020874,0.7678571428571429
adapted,0,0,2,4,1.5313313007354736,0.7857142857142857
adapted,0,0,2,5,1.278504490852356,0.7857142857142857
adapted,0,0,2,6,1.0640076398849487,0.8035714285714286
adapted,0,0,2,7,0.8883678913116455,0.8035714285714286
adapted,0,0,2,8,0.7545493841171265,0.8392857142857143
adapted,0,0,2,9,0.6374053955078125,0.8392857142857143
adapted,0,0,2,10,0.5582641363143921,0.8392857142857143
adapted,0,0,2,11,0.5058774948120117,0.8392857142857143
adapted,0,0,2,12,0.47178468108177185,0.8392857142857143
adapted,0,0,2,13,0.4327271282672882,0.8214285714285714
adapted,0,0,2,14,0.41599586606025696,0.8392857142857143
adapted,0,0,2,15,0.3870195150375366,0.8571428571428571
adapted,0,0,2,16,0.3856402337551117,0.8392857142857143
adapted,0,0,2,17,0.37036874890327454,0.8571428571428571
adapted,0,0,2,18,0.3560324013233185,0.8571428571428571
adapted,0,0,2,19,0.33982202410697937,0.8392857142857143
adapted,0,0,2,20,0.3471793234348297,0.8571428571428571
adapted,0,0,2,21,0.34224411845207214,0.8571428571428571
adapted,0,0,2,22,0.3161758482456207,0.8571428571428571
adapted,0,0,2,23,0.31615447998046875,0.8571428571428571
adapted,0,0,2,24,0.3093487024307251,0.8571428571428571
adapted,0,0,2,25,0.29570549726486206,0.875
adapted,0,0,2,26,0.2884053587913513,0.875
adapted,0,0,2,27,0.2825929820537567,0.875
adapted,0,0,2,28,0.27093860507011414,0.875
adapted,0,0,2,29,0.26749613881111145,0.875
adapted,0,0,2,30,0.2584916353225708,0.875
adapted,0,0,2,31,0.2526000738143921,0.875
adapted,0,0,2,32,0.2509097754955292,0.875
adapted,0,0,2,33,0.24219417572021484,0.875
adapted,0,0,2,34,0.23481841385364532,0.875
adapted,0,0,2,35,0.23318134248256683,0.875
adapted,0,0,2,36,0.22705255448818207,0.875
adapted,0,0,2,37,0.2200746089220047,0.875
adapted,0,0,2,38,0.21708941459655762,0.8571428571428571
adapted,0,0,2,39,0.2135566771030426,0.8571428571428571
adapted,0,0,2,40,0.20843835175037384,0.875
frozen,0,1,0,1,3.1766197681427,0.7391304347826086
frozen,0,1,0,2,2.7170791625976562,0.8695652173913043
frozen,0,1,0,3,2.420935869216919,0.8913043478260869
frozen,0,1,0,4,2.1520028114318848,0.8913043478260869
frozen,0,1,0,5,1.889651894569397,0.9130434782608695
frozen,0,1,0,6,1.6452248096466064,0.9130434782608695
