model,repeat,mean_fold_cindex
adapted,0,0.8101861776833967
adapted,1,0.7768518518518518
adapted,2,0.7836742424242424
frozen,0,0.7784802417950359
frozen,1,0.7053571428571429
frozen,2,0.7357575757575757
