model,repeat,fold,inner,epoch,train_loss,validation_cindex
frozen,0,0,0,1,2.8615641593933105,0.41379310344827586
frozen,0,0,0,2,2.8594067096710205,0.4827586206896552
frozen,0,0,0,3,2.8572511672973633,0.5
frozen,0,0,0,4,2.8550992012023926,0.5517241379310345
frozen,0,0,0,5,2.852949380874634,0.5862068965517241
frozen,0,0,0,6,2.8508026599884033,0.6379310344827587
frozen,0,0,0,7,2.848658323287964,0.6379310344827587
frozen,0,0,0,8,2.846517324447632,0.6551724137931034
frozen,0,0,0,9,2.844379425048828,0.6896551724137931
frozen,0,0,0,10,2.8422443866729736,0.7068965517241379
frozen,0,0,0,11,2.8401122093200684,0.7241379310344828
frozen,0,0,0,12,2.8379833698272705,0.7241379310344828
frozen,0,0,0,13,2.8358569145202637,0.7241379310344828
frozen,0,0,0,14,2.8337340354919434,0.7413793103448276
frozen,0,0,0,15,2.8316147327423096,0.7586206896551724
frozen,0,0,0,16,2.829498291015625,0.7586206896551724
frozen,0,0,0,17,2.8273849487304688,0.7758620689655172
frozen,0,0,0,18,2.82527494430542,0.7758620689655172
frozen,0,0,0,19,2.8231682777404785,0.7758620689655172
frozen,0,0,0,20,2.8210649490356445,0.7758620689655172
frozen,0,0,0,21,2.818964719772339,0.7931034482758621
frozen,0,0,0,22,2.816868305206299,0.7758620689655172
frozen,0,0,0,23,2.814774751663208,0.7758620689655172
frozen,0,0,0,24,2.8126847743988037,0.7758620689655172
frozen,0,0,0,25,2.810598373413086,0.7586206896551724
frozen,0,0,0,26,2.8085150718688965,0.7586206896551724
frozen,0,0,0,27,2.8064353466033936,0.7586206896551724
frozen,0,0,0,28,2.804359197616577,0.7586206896551724
frozen,0,0,0,29,2.8022866249084473,0.7586206896551724
frozen,0,0,0,30,2.8002171516418457,0.7586206896551724
frozen,0,0,0,31,2.7981512546539307,0.7586206896551724
frozen,0,0,0,32,2.796088695526123,0.7586206896551724
frozen,0,0,0,33,2.79403018951416,0.7586206896551724
frozen,0,0,0,34,2.7919745445251465,0.7758620689655172
frozen,0,0,0,35,2.7899231910705566,0.7758620689655172
frozen,0,0,0,36,2.787874698638916,0.7758620689655172
frozen,0,0,1,1,3.016188859939575,0.32432432432432434
frozen,0,0,1,2,3.014540195465088,0.3783783783783784
frozen,0,0,1,3,3.0128934383392334,0.43243243243243246
frozen,0,0,1,4,3.0112485885620117,0.5405405405405406
frozen,0,0,1,5,3.0096054077148438,0.5405405405405406
frozen,0,0,1,6,3.0079641342163086,0.6486486486486487
frozen,0,0,1,7,3.0063247680664062,0.7567567567567568
frozen,0,0,1,8,3.004687547683716,0.7837837837837838
frozen,0,0,1,9,3.0030524730682373,0.8648648648648649
frozen,0,0,1,10,3.0014190673828125,0.8918918918918919
frozen,0,0,1,11,2.9997880458831787,0.918918918918919
frozen,0,0,1,12,2.998159170150757,0.9459459459459459
frozen,0,0,1,13,2.996532440185547,0.9459459459459459
frozen,0,0,1,14,2.9949076175689697,0.9459459459459459
frozen,0,0,1,15,2.9932851791381836,0.9459459459459459
frozen,0,0,1,16,2.9916646480560303,0.9459459459459459
frozen,0,0,1,17,2.990046501159668,0.918918918918919
frozen,0,0,1,18,2.9884302616119385,0.918918918918919
frozen,0,0,1,19,2.98681640625,0.918918918918919
frozen,0,0,1,20,2.9852049350738525,0.918918918918919
frozen,0,0,1,21,2.983595371246338,0.918918918918919
frozen,0,0,1,22,2.9819884300231934,0.918918918918919
frozen,0,0,1,23,2.9803833961486816,0.918918918918919
frozen,0,0,1,24,2.978780508041382,0.918918918918919
frozen,0,0,1,25,2.977180242538452,0.918918918918919
frozen,0,0,1,26,2.9755821228027344,0.918918918918919
frozen,0,0,1,27,2.9739861488342285,0.918918918918919
frozen,0,0,2,1,2.7797281742095947,0.5892857142857143
frozen,0,0,2,2,2.7777910232543945,0.6607142857142857
frozen,0,0,2,3,2.775855302810669,0.6607142857142857
frozen,0,0,2,4,2.7739217281341553,0.6964285714285714
frozen,0,0,2,5,2.771989583969116,0.7142857142857143
