model,repeat,mean_fold_cindex
full,0,0.8104290963022887
full,1,0.7961970899470899
full,2,0.741969696969697
radiomics,0,0.6565802631431108
radiomics,1,0.6426587301587301
radiomics,2,0.6971969696969696
renal_crop,0,0.7339279333940067
renal_crop,1,0.712202380952381
renal_crop,2,0.7567424242424242
renal_slices,0,0.7742283794564105
renal_slices,1,0.7791666666666666
renal_slices,2,0.7167424242424243
