evaluation,seed,fold,cindex,n_train,n_val,events_val
cv_in_pool,42,0,0.7713874910136592,355,89,28
cv_in_pool,42,1,0.8004087193460491,355,89,28
cv_in_pool,42,2,0.7887537993920972,355,89,28
cv_in_pool,42,3,0.8608695652173913,355,89,28
cv_in_pool,42,4,0.8202692003167062,356,88,27
cv_in_pool,123,0,0.8005843681519357,355,89,28
cv_in_pool,123,1,0.7557131599684791,355,89,28
cv_in_pool,123,2,0.8156462585034013,355,89,28
cv_in_pool,123,3,0.8090971743625086,355,89,28
cv_in_pool,123,4,0.837593984962406,356,88,27
cv_in_pool,456,0,0.7777777777777778,355,89,28
cv_in_pool,456,1,0.8825995807127882,355,89,28
cv_in_pool,456,2,0.7451820128479657,355,89,28
cv_in_pool,456,3,0.813953488372093,355,89,28
cv_in_pool,456,4,0.8073463268365817,356,88,27
cv_in_pool,789,0,0.8812754409769336,355,89,28
cv_in_pool,789,1,0.8470588235294118,355,89,28
cv_in_pool,789,2,0.7742857142857142,355,89,28
cv_in_pool,789,3,0.776536312849162,355,89,28
cv_in_pool,789,4,0.7348767737117252,356,88,27
cv_in_pool,1024,0,0.7773246329526917,355,89,28
cv_in_pool,1024,1,0.7811887655127367,355,89,28
cv_in_pool,1024,2,0.7822128851540616,355,89,28
cv_in_pool,1024,3,0.7744874715261959,355,89,28
cv_in_pool,1024,4,0.8713574982231699,356,88,27
