seed,n_train,n_validation,n_heldout,events_heldout,cindex_resnet18_2p5d_baseline,cindex_resnet18_2p5d_attention,cindex_resnet18_2p5d_mamba,delta_attention_minus_baseline,delta_mamba_minus_baseline,delta_mamba_minus_attention,resnet18_2p5d_baseline_best_validation_cindex,resnet18_2p5d_baseline_epochs_completed,resnet18_2p5d_baseline_parameters,resnet18_2p5d_attention_best_validation_cindex,resnet18_2p5d_attention_epochs_completed,resnet18_2p5d_attention_parameters,resnet18_2p5d_mamba_best_validation_cindex,resnet18_2p5d_mamba_epochs_completed,resnet18_2p5d_mamba_parameters
42,136,35,43,13,0.75,0.7664473684210527,0.7467105263157895,0.016447368421052655,-0.003289473684210509,-0.019736842105263164,0.698019801980198,106,769,0.5643564356435643,29,84033,0.6287128712871287,32,319041
123,136,35,43,13,0.6336336336336337,0.7537537537537538,0.7747747747747747,0.12012012012012008,0.14114114114114107,0.02102102102102099,0.4939759036144578,21,769,0.5783132530120482,21,84033,0.5542168674698795,37,319041
456,136,35,43,13,0.6555183946488294,0.7391304347826086,0.745819397993311,0.08361204013377921,0.09030100334448155,0.006688963210702337,0.5381165919282511,59,769,0.7982062780269058,53,84033,0.852017937219731,40,319041
789,136,35,43,13,0.696165191740413,0.6312684365781711,0.7640117994100295,-0.06489675516224191,0.06784660766961648,0.1327433628318584,0.6972972972972973,102,769,0.7621621621621621,60,84033,0.7513513513513513,31,319041
1024,136,35,43,13,0.6521739130434783,0.7355072463768116,0.75,0.08333333333333337,0.09782608695652173,0.01449275362318836,0.7897727272727273,115,769,0.8465909090909091,33,84033,0.8977272727272727,52,319041
