seed,pca_dim,penalizer,inner_cindex,cindex_official_pca_cox,cindex_attention,cindex_mamba,delta_mamba_minus_official,delta_mamba_official_ci95_lo,delta_mamba_official_ci95_hi,delta_mamba_official_bootstrap_p
42,48,5.0,0.6619285878936857,0.8717105263157895,0.7664473684210527,0.7467105263157895,-0.125,-0.2822496877259878,0.02931835600689785,0.1152
123,32,20.0,0.6509736559406413,0.7537537537537538,0.7537537537537538,0.7747747747747747,0.02102102102102099,-0.11254800471731394,0.2000149700598801,0.774
456,48,0.01,0.7077635822091529,0.6220735785953178,0.7391304347826086,0.745819397993311,0.12374581939799323,-0.10714627805145052,0.3473106977534293,0.2952
789,16,0.1,0.6736946732136241,0.6637168141592921,0.6312684365781711,0.7640117994100295,0.10029498525073743,-0.045830396019075174,0.2396511507360563,0.192
1024,32,20.0,0.6583930388105811,0.6739130434782609,0.7355072463768116,0.75,0.07608695652173914,-0.05694088470119662,0.21875388681592034,0.2532
