modalities,n_cases,cindex_mean,cindex_std,cindex_per_seed,subset_label,clinical_moment
['tabular'],444,0.7727945604085124,0.007275888066223899,"[0.7789522780756774, 0.759210180837497, 0.7713120895024923, 0.7776709305972209, 0.7768273230296743]",tabular,post_surgery
['text'],435,0.6824220098657731,0.009403301734317684,"[0.6857672489298319, 0.6984940883107351, 0.6805334232499474, 0.6708815748209942, 0.6764337140173572]",text,post_surgery
['vision'],214,0.6318643504085975,0.010252428271048405,"[0.618044266960518, 0.6224117299054399, 0.6355889234530652, 0.6371507922682137, 0.6461260394557506]",vision,post_surgery
"['tabular', 'text', 'vision']",210,0.7058810473079987,0.018942202811729113,"[0.7330553723713156, 0.6845264617698184, 0.6841374159405298, 0.7138090823046722, 0.713876904153657]",tabular+text+vision,post_surgery
