seed,n_train,n_heldout,events_train,events_heldout,cindex_tabular,cindex_text,cindex_vision,cindex_late_equal,cindex_late_tuned_simplex,weight_tabular,weight_text,weight_vision,fusion_inner_cindex,tabular_pca_dim,text_pca_dim,vision_pca_dim,tabular_penalizer,text_penalizer,vision_penalizer,tabular_inner_cindex,text_inner_cindex,vision_inner_cindex
42,168,42,51,13,0.8571428571428571,0.6162790697674418,0.6810631229235881,0.7906976744186046,0.8571428571428571,0.9,0.0,0.1,0.7638745615844853,,8,4,1.0,0.01,10.0,0.7741480158730157,0.6383954365079365,0.6564061507936508
123,168,42,51,13,0.7919161676646707,0.5494011976047904,0.6676646706586826,0.7574850299401198,0.8143712574850299,0.7,0.0,0.3,0.8095690747782003,,8,8,10.0,0.01,0.01,0.7903877085664567,0.6265174488851325,0.6935384040053211
456,168,42,51,13,0.8681506849315068,0.6455479452054794,0.6284246575342466,0.791095890410959,0.8767123287671232,0.7,0.0,0.3,0.8002645502645502,,4,32,10.0,0.01,0.01,0.7942109215398475,0.6273473583360248,0.7034323335527507
789,168,42,51,13,0.8479623824451411,0.7084639498432602,0.6536050156739812,0.8510971786833855,0.8369905956112853,0.7,0.0,0.3,0.7995209331389294,,32,8,1.0,0.01,10.0,0.7980757206155399,0.5928160932035232,0.6711421287056242
1024,168,42,51,13,0.63003663003663,0.6593406593406593,0.5677655677655677,0.6886446886446886,0.6703296703296703,0.7,0.0,0.3,0.8185858585858586,,16,16,0.01,1.0,10.0,0.8147870888461464,0.6034100512910182,0.683450146684541
