seed,n_train,n_validation,n_heldout,events_train,events_validation,events_heldout,cindex_stunet,cindex_stunet_ci95_lo,cindex_stunet_ci95_hi,cindex_resnet18_2p5d,cindex_resnet18_2p5d_ci95_lo,cindex_resnet18_2p5d_ci95_hi,delta_stunet_minus_resnet,delta_ci95_lo,delta_ci95_hi,delta_bootstrap_p,stunet_best_validation_cindex,resnet_best_validation_cindex,stunet_epochs,resnet_epochs
42,32,8,10,8,2,3,0.7272727272727273,0.29642857142857143,1.0,0.7272727272727273,0.3076923076923077,1.0,0.0,-0.6666666666666667,0.6000000000000001,1.0,0.25,1.0,21,29
123,32,8,10,8,2,3,0.4444444444444444,0.0,1.0,0.5555555555555556,0.0,1.0,-0.11111111111111116,-0.8,0.8,0.8401332223147377,1.0,0.0,21,21
456,32,8,10,8,2,3,0.38461538461538464,0.0,1.0,0.3076923076923077,0.0,1.0,0.07692307692307693,0.0,0.33333333333333337,1.0,0.16666666666666666,1.0,34,28
789,32,8,10,8,2,3,0.7692307692307693,0.15833333333333346,1.0,0.3076923076923077,0.0,1.0,0.46153846153846156,-0.1287499999999999,1.0,0.14485130487558162,0.4,0.2,25,21
1024,32,8,10,8,2,3,0.8333333333333334,0.3333333333333333,1.0,0.5,0.0,1.0,0.33333333333333337,0.0,0.75,0.11504793664026677,0.6,1.0,21,21
